2.467012999999999920e+03,-9.054000000000000270e+00,-8.000000000000000444e-01,4.387239999999999890e-02,3.548250000000000015e-02,8.389900000000000482e-03
2.467476000000000113e+03,-8.590999999999999304e+00,-7.199999999999999734e-01,5.438860000000000222e-02,4.391090000000000271e-02,1.047769999999999951e-02
2.467889999999999873e+03,-8.176000000000000156e+00,-6.400000000000000133e-01,6.905029999999999502e-02,5.566920000000000202e-02,1.338109999999999994e-02
2.468255999999999858e+03,-7.810999999999999943e+00,-5.600000000000000533e-01,9.034129999999999938e-02,7.268170000000000186e-02,1.765960000000000099e-02
2.468572999999999865e+03,-7.493999999999999773e+00,-4.799999999999999822e-01,1.228209999999999996e-01,9.834909999999999486e-02,2.447239999999999832e-02
2.468840999999999894e+03,-7.224999999999999645e+00,-4.000000000000000222e-01,1.751050000000000106e-01,1.387980000000000047e-01,3.630680000000000018e-02
2.469061000000000149e+03,-7.006000000000000227e+00,-3.200000000000000067e-01,2.624569999999999959e-01,2.043429999999999969e-01,5.811369999999999730e-02
2.469231999999999971e+03,-6.834999999999999964e+00,-2.399999999999999911e-01,4.019240000000000035e-01,3.059450000000000225e-01,9.597949999999999537e-02
2.469251000000000204e+03,-6.815999999999999837e+00,-2.290000000000000091e-01,4.248000000000000109e-01,3.224509999999999876e-01,1.023479999999999945e-01
2.469351000000000113e+03,-6.716000000000000192e+00,-1.620000000000000051e-01,5.711779999999999635e-01,4.284350000000000103e-01,1.427430000000000088e-01
2.469451000000000022e+03,-6.615999999999999659e+00,0.000000000000000000e+00,7.507420000000000204e-01,5.647739999999999982e-01,1.859669999999999934e-01
2.469550999999999931e+03,-6.516000000000000014e+00,1.620000000000000051e-01,9.083879999999999733e-01,7.005940000000000500e-01,2.077940000000000065e-01
2.469650999999999840e+03,-6.416000000000000369e+00,2.290000000000000091e-01,9.970109999999999806e-01,8.052470000000000461e-01,1.917649999999999910e-01
2.469751000000000204e+03,-6.315999999999999837e+00,2.810000000000000275e-01,1.021330000000000071e+00,8.762119999999999909e-01,1.451129999999999920e-01
2.469851000000000113e+03,-6.216000000000000192e+00,3.240000000000000102e-01,1.011449999999999960e+00,9.233329999999999593e-01,8.812029999999999863e-02
2.469945000000000164e+03,-6.121999999999999886e+00,3.599999999999999867e-01,9.932849999999999735e-01,9.536520000000000552e-01,3.963250000000000106e-02
2.470061000000000149e+03,-6.006000000000000227e+00,4.000000000000000222e-01,9.795420000000000238e-01,9.795059999999999878e-01,3.562980000000000232e-05
2.470188999999999851e+03,-5.878000000000000114e+00,4.400000000000000022e-01,9.876909999999999856e-01,9.986960000000000282e-01,-1.100549999999999966e-02
2.470329000000000178e+03,-5.738000000000000433e+00,4.799999999999999822e-01,1.030640000000000001e+00,1.012750000000000039e+00,1.789359999999999909e-02
2.470481000000000222e+03,-5.586000000000000298e+00,5.200000000000000178e-01,1.109930000000000083e+00,1.022880000000000011e+00,8.705100000000000338e-02
2.470646000000000186e+03,-5.421000000000000263e+00,5.600000000000000533e-01,1.202939999999999898e+00,1.029979999999999896e+00,1.729559999999999986e-01
2.470822999999999865e+03,-5.243999999999999773e+00,5.999999999999999778e-01,1.273150000000000004e+00,1.034759999999999902e+00,2.383899999999999908e-01
2.471012000000000171e+03,-5.054999999999999716e+00,6.400000000000000133e-01,1.315739999999999910e+00,1.037660000000000027e+00,2.780790000000000206e-01
2.471213000000000193e+03,-4.854000000000000092e+00,6.800000000000000488e-01,1.357650000000000023e+00,1.039179999999999993e+00,3.184739999999999793e-01
2.471425999999999931e+03,-4.641000000000000014e+00,7.199999999999999734e-01,1.413219999999999921e+00,1.039579999999999949e+00,3.736419999999999741e-01
2.471652000000000044e+03,-4.415000000000000036e+00,7.600000000000000089e-01,1.474779999999999980e+00,1.039099999999999913e+00,4.356849999999999890e-01
2.471889000000000124e+03,-4.176999999999999602e+00,8.000000000000000444e-01,1.540219999999999922e+00,1.037900000000000045e+00,5.023149999999999560e-01
2.472139000000000124e+03,-3.927999999999999936e+00,8.399999999999999689e-01,1.623650000000000038e+00,1.036240000000000050e+00,5.874120000000000452e-01
2.472402000000000044e+03,-3.665000000000000036e+00,8.800000000000000044e-01,1.718329999999999913e+00,1.034159999999999968e+00,6.841709999999999736e-01
2.472675999999999931e+03,-3.391000000000000014e+00,9.200000000000000400e-01,1.784470000000000001e+00,1.031770000000000076e+00,7.527049999999999574e-01
