2.465000000000000000e+03,0.000000000000000000e+00
2.465555555555555657e+03,0.000000000000000000e+00
2.466111111111111313e+03,0.000000000000000000e+00
2.466666666666666515e+03,0.000000000000000000e+00
2.467222222222222172e+03,0.000000000000000000e+00
2.467777777777777828e+03,4.525250208835952803e-02
2.468333333333333485e+03,6.158417643836693739e-02
2.468888888888888687e+03,9.382382123087484871e-02
2.469444444444444343e+03,2.051793521766942796e-01
2.470000000000000000e+03,6.306606600000488339e-01
2.470555555555555657e+03,8.826262626984732185e-01
2.471111111111111313e+03,1.058807766020077645e+00
2.471666666666666515e+03,1.356708560250280415e+00
2.472222222222222172e+03,1.443669617777789682e+00
2.472777777777777828e+03,1.332939699918917809e+00
2.473333333333333485e+03,1.324937046979919764e+00
2.473888888888888687e+03,1.563712511179877973e+00
2.474444444444444343e+03,1.876079990049623669e+00
2.475000000000000000e+03,1.888307777777777918e+00
2.475555555555555657e+03,1.661289850254466849e+00
2.476111111111111313e+03,1.451301728394999380e+00
2.476666666666666515e+03,1.279532777777848018e+00
2.477222222222222172e+03,1.179465055170647592e+00
2.477777777777777828e+03,1.162140579275904972e+00
2.478333333333333485e+03,1.152237665937269950e+00
2.478888888888888687e+03,1.076887960199059302e+00
2.479444444444444343e+03,9.778515479483957940e-01
2.480000000000000000e+03,9.192132114624658179e-01
2.480555555555555657e+03,8.798559854139840208e-01
2.481111111111111313e+03,8.398955765199086487e-01
2.481666666666666515e+03,8.161048195211790812e-01
2.482222222222222172e+03,8.139907424789400991e-01
2.482777777777777828e+03,8.269818340192039985e-01
2.483333333333333485e+03,8.454611652274079958e-01
2.483888888888888687e+03,8.615458307057054510e-01
2.484444444444444343e+03,8.775894691358024913e-01
2.485000000000000000e+03,9.013576477272752241e-01
2.485555555555555657e+03,9.327907285353624900e-01
2.486111111111111313e+03,9.637200265392854570e-01
2.486666666666666515e+03,9.844058437499947356e-01
2.487222222222222172e+03,9.950942385821398561e-01
2.487777777777777828e+03,1.002776887886383417e+00
2.488333333333333485e+03,1.011431282051284963e+00
2.488888888888888687e+03,1.019813478471212953e+00
2.489444444444444343e+03,1.026006028059987418e+00
2.490000000000000000e+03,1.030604636233952043e+00
2.490555555555555657e+03,1.034299961040986204e+00
2.491111111111111313e+03,1.037503313437405428e+00
2.491666666666666515e+03,1.040571877869603812e+00
2.492222222222222172e+03,1.044214800241216823e+00
2.492777777777777828e+03,1.048379398518517691e+00
2.493333333333333485e+03,1.053047926509186771e+00
2.493888888888888687e+03,1.058253525809272899e+00
2.494444444444444343e+03,1.063751082400227643e+00
2.495000000000000000e+03,1.068653862770011509e+00
2.495555555555555657e+03,1.072719349763297414e+00
2.496111111111111313e+03,1.074550316067948819e+00
2.496666666666666515e+03,1.073702153719687580e+00
2.497222222222222172e+03,1.070680801944106753e+00
2.497777777777777828e+03,1.064423207776425295e+00
2.498333333333333485e+03,1.055644782435124274e+00
2.498888888888888687e+03,1.045587374213837517e+00
2.499444444444444343e+03,1.034246965408803565e+00
2.500000000000000000e+03,1.022913259604190772e+00
2.500555555555555657e+03,1.011849322502549775e+00
2.501111111111111313e+03,1.002121366335369856e+00
2.501666666666666515e+03,9.938870822021141915e-01
2.502222222222222172e+03,9.866785492311516137e-01
2.502777777777777828e+03,9.824628994295623308e-01
2.503333333333333485e+03,9.793487889133620783e-01
2.503888888888888687e+03,9.779360380567801991e-01
2.504444444444444343e+03,9.782978650018094857e-01
2.505000000000000000e+03,9.794125021459229030e-01
2.505555555555555657e+03,9.822051821649975256e-01
2.506111111111111313e+03,9.856237432098771123e-01
2.506666666666666515e+03,9.898953481481472805e-01
2.507222222222222172e+03,9.949676087309888839e-01
2.507777777777777828e+03,1.000347847904333287e+00
2.508333333333333485e+03,1.006304502923980104e+00
2.508888888888888687e+03,1.012183452138492479e+00
2.509444444444444343e+03,1.017835183299389712e+00
2.510000000000000000e+03,1.022992877263582567e+00
2.510555555555555657e+03,1.027631822043372667e+00
2.511111111111111313e+03,1.031223503593146518e+00
2.511666666666666515e+03,1.034363359867328747e+00
2.512222222222222172e+03,1.036127611875136134e+00
2.512777777777777828e+03,1.037645719366311114e+00
2.513333333333333485e+03,1.037920533462657779e+00
2.513888888888888687e+03,1.038004702495201936e+00
2.514444444444444343e+03,1.037332917466410986e+00
2.515000000000000000e+03,1.036468246445497510e+00
2.515555555555555657e+03,1.035204423380726269e+00
2.516111111111111313e+03,1.033748203043567848e+00
2.516666666666666515e+03,1.032033589743590163e+00
2.517222222222222172e+03,1.030073142827721222e+00
2.517777777777777828e+03,1.027874605087014004e+00
2.518333333333333485e+03,1.025356968864467255e+00
2.518888888888888687e+03,1.022594453601954001e+00
2.519444444444444343e+03,1.019506867130049343e+00
2.520000000000000000e+03,1.016202747053490230e+00
